mountain_unit,year,lamb_ewe_ratio,surveys,elevation,snow_line_elevation,snow_disappearance,snow_cover_duration,temp,precip,may_temp,winter_precip,latitude,longitude,distance,sheep_density
AK Range Central North Slope,2000,0.243,1,901.16,632.655,141.128,0.498,-3.345,155.201,3.026,92.322,64,-150,404.033,-9999
AK Range Central North Slope,2001,0.255,1,901.16,802.21,131.652,0.638,-2.091,169.683,2.14,88.055,64,-150,404.033,-9999
AK Range Central North Slope,2002,0.458,1,901.16,831.81,134.051,0.513,-3.497,122.127,5.756,64.993,64,-150,404.033,-9999
AK Range Central North Slope,2003,0.303,1,901.16,1185.845,118.655,0.447,-0.955,168.841,4.316,68.471,64,-150,404.033,-9999
AK Range Central North Slope,2004,0.321,1,901.16,1251.515,125.107,0.452,-2.483,139.375,7.204,88.233,64,-150,404.033,-9999
AK Range Central North Slope,2005,0.339,1,901.16,1187.608,126.064,0.54,-1.667,174.652,7.778,123.117,64,-150,404.033,-9999
AK Range Central North Slope,2006,0.345,1,901.16,865.263,133.92,0.538,-3.369,154.591,5.558,73.792,64,-150,404.033,-9999
AK Range Central North Slope,2007,0.346,1,901.16,1281.853,118.349,0.475,-3.546,172.292,5.658,67.549,64,-150,404.033,-9999
AK Range Central North Slope,2008,0.218,14,901.16,976.205,131.703,0.55,-2.933,184.932,4.772,89.363,64,-150,404.033,0.673
AK Range Central North Slope,2009,0.235,14,901.16,1443.208,121.215,0.547,-4.088,137.277,5.685,110.624,64,-150,404.033,1.242
AK Range Central North Slope,2010,0.35,3,901.16,1374.925,115.997,0.476,-2.59,143.472,6.645,66.762,64,-150,404.033,0.947
AK Range Central North Slope,2011,0.35,35,901.16,1215.618,124.402,0.482,-3.415,146.974,5.699,94.372,64,-150,404.033,1.499
AK Range Central North Slope,2013,0.117,6,901.16,289.95,146.591,0.598,-3.608,162.972,2.545,118.671,64,-150,404.033,1.15
AK Range Central North Slope,2014,0.151,1,901.16,1220.095,116.595,0.482,-1.928,216.907,6.327,111.179,64,-150,404.033,-9999
AK Range Central North Slope,2015,0.452,29,901.16,1270.825,118.306,0.491,-1.196,142.733,7.959,60.51,64,-150,404.033,1.224
AK Range Central South Slope,2011,0.426,1,1114.301,416.083,142.697,0.65,-4.116,152.264,3.036,125.278,63,-150,451.658,-9999
AK Range East North Slope,2000,0.097,1,1161.198,817.143,142.987,0.557,-3.762,94.092,2.291,61.351,63,-145,202.992,-9999
AK Range East North Slope,2011,0.321,7,1161.198,1120.385,130.717,0.547,-4.218,91.542,5.059,69.793,63,-145,202.992,-9999
AK Range East North Slope,2012,0.177,7,1161.198,907.58,138.202,0.581,-4.519,93.567,2.905,74.769,63,-145,202.992,-9999
AK Range East North Slope,2013,0.13,7,1161.198,511.01,151.075,0.63,-4.845,82.526,1.93,75.676,63,-145,202.992,-9999
AK Range East North Slope,2014,0.214,7,1161.198,1078.653,127.929,0.553,-3.126,117.232,5.482,70.692,63,-145,202.992,-9999
AK Range East North Slope,2015,0.459,7,1161.198,1167.66,129.298,0.556,-2.324,97.178,7.115,53.784,63,-145,202.992,-9999
AK Range East South Slope,2001,0.208,1,1053.85,800.228,141.487,0.671,-2.482,81.16,1.88,38.119,63,-145,260.604,0.654
AK Range East South Slope,2002,0.214,1,1053.85,883.458,139.512,0.548,-3.835,46.022,4.207,21.925,63,-145,260.604,-9999
AK Range East South Slope,2007,0.316,1,1053.85,1050.558,132.336,0.539,-3.924,70.092,4.626,29.16,63,-145,260.604,-9999
AK Range East South Slope,2009,0.303,2,1053.85,1074.775,132.137,0.597,-4.442,55.251,4.64,43.966,63,-145,260.604,-9999
AK Range East South Slope,2012,0.252,2,1053.85,812.62,145.139,0.57,-4.054,67.264,2.864,50.877,63,-145,260.604,-9999
AK Range East South Slope,2014,0.253,1,1053.85,1000.738,132.845,0.549,-2.517,85.587,5.626,50.403,63,-145,260.604,-9999
AK Range Western North Slope,2003,0.303,57,985.324,755.525,134.578,0.543,-0.785,239.194,3.903,148.861,61,-154,703.36,-9999
AK Range Western North Slope,2004,0.149,35,985.324,843.437,139.48,0.536,-2.254,195.956,6.514,161.316,61,-154,703.36,-9999
AK Range Western North Slope,2008,0.204,1,985.324,450.9,147.823,0.638,-3.108,241.796,3.699,178.428,61,-154,703.36,0.499
AK Range Western North Slope,2011,0.245,2,985.324,629.09,137.672,0.57,-3.445,187.137,4.516,150.771,61,-154,703.36,-9999
AK Range Western North Slope,2012,0.266,34,985.324,548.595,143.843,0.609,-4.508,256.736,2.941,203.741,61,-154,703.36,-9999
AK Range Western North Slope,2013,0.327,12,985.324,412.34,147.865,0.618,-3.029,253.793,2.257,210.987,61,-154,703.36,-9999
AK Range Western North Slope,2014,0.257,12,985.324,895.32,121.669,0.539,-1.407,266.419,6.106,192.207,61,-154,703.36,-9999
AK Range Western North Slope,2015,0.318,45,985.324,831.36,129.878,0.49,-0.741,178.382,6.509,121.89,61,-154,703.36,0.514
AK Range Western South Slope,2011,0.5,1,902.274,160.168,143.402,0.692,-2.168,255.713,3.871,258.697,61,-153,666.347,-9999
Central Brooks North,2000,0.413,11,788.731,0,155.075,0.615,-10.465,107.103,-4.729,72.657,68,-153,653.03,0.551
Central Brooks North,2001,0.258,11,788.731,0,157.849,0.743,-9.166,101.023,-5.69,69.086,68,-153,653.03,0.43
Central Brooks North,2005,0.425,66,788.731,748.32,143.702,0.568,-8.701,103.029,0.546,88.085,68,-153,653.03,0.31
Central Brooks North,2006,0.354,9,788.731,701.505,146.2,0.549,-9.879,119.187,-0.148,86.162,68,-153,653.03,0.042
Central Brooks North,2007,0.382,25,788.731,0,146.548,0.504,-9.127,75.824,-1.936,72.441,68,-153,653.03,0.18
Central Brooks North,2008,0.393,27,788.731,491.13,147.864,0.512,-8.826,119.395,-0.491,109.423,68,-153,653.03,0.465
Central Brooks North,2012,0.298,22,788.731,205.64,147.379,0.575,-10.489,118.662,-2.069,100.317,68,-153,653.03,-9999
Central Brooks North,2013,0,17,788.731,0,158.338,0.586,-9.98,133.922,-3.531,75.129,68,-153,653.03,-9999
Central Brooks South,2000,0.357,9,831.65,0,154.534,0.595,-8.951,135.818,-1.987,86.674,68,-154,618.858,0.718
Central Brooks South,2001,0.097,9,831.65,0,157.848,0.722,-7.569,145.135,-2.877,97.731,68,-154,618.858,0.856
Central Brooks South,2002,0.264,10,831.65,NA,119.241,0.534,-8.626,127.92,3.055,84.282,68,-154,618.858,0.48
Central Brooks South,2003,0.184,1,831.65,39.673,155.387,0.619,-6.393,142.757,1.235,85.091,68,-154,618.858,0.434
Central Brooks South,2004,0.198,1,831.65,20.153,146.346,0.513,-7.492,165.526,3.569,104.135,68,-154,618.858,0.634
Central Brooks South,2005,0.362,61,831.65,0,143.597,0.566,-7.143,147.262,3.414,115.573,68,-154,618.858,0.156
Central Brooks South,2006,0.257,49,831.65,0,147.968,0.539,-8.517,156.539,2.275,93.129,68,-154,618.858,0.181
Central Brooks South,2007,0.438,31,831.65,775.988,136.898,0.502,-7.77,116.384,0.924,82.642,68,-154,618.858,0.183
Central Brooks South,2008,0.364,2,831.65,51.225,151.051,0.524,-7.502,165.013,2.034,127.973,68,-154,618.858,0.667
Central Brooks South,2009,0.324,1,831.65,663.183,138.401,0.534,-8.561,132.376,2.419,140.871,68,-154,618.858,0.615
Central Brooks South,2012,0.244,5,831.65,0,146.713,0.559,-9.133,150.494,0.353,109.565,68,-154,618.858,-9999
Central Brooks South,2014,0.024,1,831.65,340.755,149.039,0.555,-6.846,194.012,2.346,129.551,68,-154,618.858,-9999
Central Brooks South,2015,0.274,1,831.65,373.513,139.865,0.529,-6.272,139.871,5.355,100.894,68,-154,618.858,-9999
Chugatch  Mtns,2000,0.198,1,1153.364,682.798,154.43,0.744,-2.725,521.814,1.708,564.621,61,-147,447.651,-9999
